ESCO,ISCO08
93292,9329
83327,8332
71142,7114
72239,7223
722312,7223
5249221,5249
22612,2261
13122,1312
3521111,3521
3324416,3324
2144121,2144
42212,4221
3123123,3123
71332,7133
26218,2621
31199,3119
23596,2359
26592,2659
312246,3122
722322,7223
251113,2511
61123,6112
13243215,1324
226911,2269
21432,2143
25134,2513
1221321,1221
214991,2149
2635317,2635
75234,7523
71323,7132
34333,3433
13306,1330
14202,1420
134413,1344
2131410,2131
821234,8212
251115,2511
1321213,1321
34113,3411
62215,6221
211313,2113
11122,1112
71141,7114
21142,2114
34112,3411
817251,8172
2149271,2149
73229,7322
25295,2529
2635318,2635
311516,3115
311111,3111
23591,2359
26434,2643
92164,9216
72236,7223
352116,3521
3331216,3331
5223724,5223
72223,7222
134919,1349
51631,5163
313139,3131
13248,1324
214219,2142
3324424,3324
35121,3512
33543,3354
815211,8152
2144111,2144
214912,2149
732112,7321
214314,2143
33126,3312
24332,2433
21631,2163
816037,8160
23591,2359
32598,3259
75152,7515
314212,3142
75236,7523
21431,2143
215115,2151
81816,8181
334311,3343
26545,2654
71194,7119
264211,2642
21206,2120
3435255,3435
2131412,2131
1420416,1420
261112,2611
26321,2632
211412,2114
132431623,1324
73224,7322
754382,7543
82111,8211
21652,2165
1223214,1223
43131,4313
311218,3112
2310132,2310
814213,8142
26511,2651
52431,5243
2144115,2144
312244,3122
132481,1324
3123116,3123
82198,8219
33415,3341
83223,8322
263424,2634
214999,2149
33157,3315
13243229,1324
72233,7223
31195,3119
2635312,2635
541411,5414
32553,3255
31542,3154
72331,7233
95201,9520
72152,7215
21491,2149
26414,2641
73172,7317
24123,2412
732116,7321
75439,7543
81411,8141
75212,7521
212061,2120
81837,8183
754371,7543
3434121,3434
25213,2521
31223,3122
13243218,1324
13222,1322
311113,3111
24311,2431
216613,2166
25111,2511
312317,3123
313313,3133
1420431,1420
1101,1100
61215,6121
72324,7232
13243212,1324
75434,7543
21499,2149
71241,7124
43122,4312
313136,3131
26517,2651
342247,3422
31151,3115
81221,8122
311513,3115
74223,7422
2144113,2144
325741,3257
13247,1324
315323,3153
75311,7531
73182,7318
33124,3312
263124,2631
2310119,2310
121911,1219
333421,3334
75153,7515
34116,3411
51131,5113
74215,7421
13243219,1324
52461,5246
71211,7121
21452,2145
81321,8132
83425,8342
61211,6121
3115113,3115
33312120,3331
2431101,2431
73124,7312
325311,3253
93336,9333
83421,8342
21316,2131
2422125,2422
42215,4221
311411,3114
21411,2141
83211,8321
121955,1219
2310122,2310
264212,2642
1420415,1420
5223736,5223
121112,1211
816044,8160
81812,8181
235212,2352
23552,2355
243364,2433
213147,2131
2635323,2635
132431624,1324
2635327,2635
24315,2431
14205,1420
33312112,3331
2114110,2114
74222,7422
213143,2131
42221,4222
241312,2413
43123,4312
2320112,2320
1108,1100
61121,6112
264214,2642
132432,1324
243291,2432
421241,4212
54192,5419
72311,7231
81601,8160
33342,3334
3115110,3115
3324423,3324
24127,2412
132312,1323
5249211,5249
432314,4323
816054,8160
26215,2621
754311,7543
73176,7317
263515,2635
512012,5120
314213,3142
33312124,3331
132311,1323
214996,2149
1324312,1324
21661,2166
34111,3411
26325,2632
43111,4311
81718,8171
81227,8122
33133,3313
2141421,2141
25143,2514
